Sample name,title,source name,organism,idat file,characteristics: donor,characteristics: immunization,characteristics: time after immunization,characteristics: prime,characteristics: number of SIV challenge to infection,molecule,label,description,platform
V43DNA_R218_prevax,blood sample from donor R218 taken pre-vaccination,Blood sample from donor R218,Macaca mullatta,9447848057_F_Grn.idat,R218,prevax,NA,DNA,3,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R218_24hours_post1stALVAC,blood sample from donor R218 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R218,Macaca mullatta,9479187062_H_Grn.idat,R218,post1stALVAC,24 hours,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R218_2weeks_post1stALVAC,blood sample from donor R218 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R218,Macaca mullatta,9477874137_J_Grn.idat,R218,post1stALVAC,2 weeks,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R218_24hours_post2ndALVAC,blood sample from donor R218 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R218,Macaca mullatta,9461595127_G_Grn.idat,R218,post2ndALVAC,24 hours,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R218_1week_post2ndALVAC,blood sample from donor R218 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R218,Macaca mullatta,9447848057_B_Grn.idat,R218,post2ndALVAC,1 week,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R220_prevax,blood sample from donor R220 taken pre-vaccination,Blood sample from donor R220,Macaca mullatta,9479187105_B_Grn.idat,R220,prevax,NA,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R220_24hours_post1stALVAC,blood sample from donor R220 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R220,Macaca mullatta,9479187062_C_Grn.idat,R220,post1stALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R220_2weeks_post1stALVAC,blood sample from donor R220 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R220,Macaca mullatta,9461595109_A_Grn.idat,R220,post1stALVAC,2 weeks,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R220_24hours_post2ndALVAC,blood sample from donor R220 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R220,Macaca mullatta,9461595127_L_Grn.idat,R220,post2ndALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R220_1week_post2ndALVAC,blood sample from donor R220 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R220,Macaca mullatta,9479187105_E_Grn.idat,R220,post2ndALVAC,1 week,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
